,Entity,Year,score_human,score_happy,score_cd,score_ci,score_d,score_le,score_mh,weighted_cd,weighted_ci,weighted_d,weighted_le,weighted_mh,year
0,United States,2017,0.0255,-0.0265,-0.0873,-0.0008,-0.0193,0.0124,,-0.08070652247328083,-0.00037187430149860073,-0.010891743107924632,0.011652834150459215,,2017
1,United States,2016,0.0233,-0.0527,-0.0916,-0.0036,-0.0222,0.0127,-0.046,-0.08468175782992582,-0.001673434356743703,-0.012528326269219006,0.011934757557325164,-0.03518717960698621,2016
2,United States,2015,0.0211,-0.0443,-0.1051,-0.01,-0.0356,0.0131,-0.0379,-0.09716214790311357,-0.004648428768732509,-0.02009046915244129,0.01231065543314643,-0.028991176241408206,2015
3,United States,2014,0.0189,-0.0043,-0.1016,-0.011,-0.0431,0.0132,-0.0275,-0.0939264912174723,-0.005113271645605759,-0.02432301181096122,0.012404629902101746,-0.021035813895480888,2014
4,United States,2013,0.0166,0.0094,-0.0959,-0.0102,-0.0457,0.0131,-0.0191,-0.0886569931865708,-0.004741397344107159,-0.025790293265914796,0.01231065543314643,-0.01461032892377036,2013
5,United States,2012,0.0189,-0.0217,-0.0858,-0.0081,-0.0456,0.0125,-0.0106,-0.07931981246514885,-0.003765227302673332,-0.0257338593638012,0.011746808619414533,-0.008108350083348996,2012
6,United States,2011,0.0178,-0.0093,-0.0725,-0.0052,-0.0421,0.0114,-0.005,-0.06702431705971203,-0.0024171829597409043,-0.02375867278982523,0.010713089460906053,-0.0038246934355419793,2011
7,United States,2010,0.0144,-0.0025,-0.0658,-0.0051,-0.043,0.0098,-0.0012,-0.06083034569005588,-0.0023706986720535795,-0.02426657790884762,0.009209497957620993,-0.000917926424530075,2010
8,United States,2009,0.01,-0.0033,-0.0425,-0.0016,-0.0296,0.0077,0.001,-0.03929011689707257,-0.0007437486029972015,-0.016704435025625342,0.007236034109559353,0.0007649386871083958,2009
9,United States,2008,0.01,0.0137,-0.03,-0.0023,-0.0202,0.0053,0.0001,-0.027734200162639458,-0.001069138616808477,-0.011399648226947022,0.004980646854631762,7.649386871083959e-05,2008
10,United States,2007,0.0044,0.0461,-0.019,-0.0023,-0.0111,0.0027,0.0003,-0.017564993436338324,-0.001069138616808477,-0.006264163134609503,0.0025373106617935393,0.00022948160613251874,2007
11,United States,2006,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,2006
